PPPPPPPPPPPPPPPPPPPPPPPP01101010	B P24
PPPPPPPPPPPPPPPPPPPPPPPP01101100	CALL P24
LLLLLLLLLLLLLLLLxCCCCCCC01101101	BCC L16,cond
LLLLLLLLLLLLLLLLxCCCCCCC01101110	CALLCC L16,cond
LLLLLLLLKKKKKKKKFSSSccxu01101111	BCC[U] L8,srcRELOPK8
SSDDSHFTKKKKKKKKKKKKKKKK01110000	ADD K16<<#SHFT,[ACx,]ACy
SSDDSHFTKKKKKKKKKKKKKKKK01110001	SUB K16<<#SHFT,[ACx,]ACy
SSDDSHFTkkkkkkkkkkkkkkkk01110010	AND k16<<#SHFT,[ACx,]ACy
SSDDSHFTkkkkkkkkkkkkkkkk01110011	OR k16<<#SHFT,[ACx,]ACy
SSDDSHFTkkkkkkkkkkkkkkkk01110100	XOR k16<<#SHFT,[ACx,]ACy
xxDDSHFTKKKKKKKKKKKKKKKK01110101	MOV K16<<#SHFT,ACx
FDDD00SSkkkkkkkkkkkkkkkk01110110	BFXTR k16,ACx,dst
FDDD01SSkkkkkkkkkkkkkkkk01110110	BFXPA k16,ACx,dst
FDDD10xxKKKKKKKKKKKKKKKK01110110	MOV K16,dst
FDDDxxxxDDDDDDDDDDDDDDDD01110111	AMOV D16,TAx
xxx0000xkkkkkkkkkkkkkkkk01111000	MOV k16,DP
xxx0001xkkkkkkkkkkkkkkkk01111000	MOV k16,SSP
xxx0010xkkkkkkkkkkkkkkkk01111000	MOV k16,CDP
xxx0011xkkkkkkkkkkkkkkkk01111000	MOV k16,BSA01
xxx0100xkkkkkkkkkkkkkkkk01111000	MOV k16,BSA23
xxx0101xkkkkkkkkkkkkkkkk01111000	MOV k16,BSA45
xxx0110xkkkkkkkkkkkkkkkk01111000	MOV k16,BSA67
xxx0111xkkkkkkkkkkkkkkkk01111000	MOV k16,BSAC
xxx1000xkkkkkkkkkkkkkkkk01111000	MOV k16,SP
SSDDxx0%KKKKKKKKKKKKKKKK01111001	MPYK[R] K16,[ACx,]ACy
SSDDss1%KKKKKKKKKKKKKKKK01111001	MACK[R] Tx,K16,[ACx,]ACy
SSDD000xKKKKKKKKKKKKKKKK01111010	ADD K16<<#16,[ACx,]ACy
SSDD001xKKKKKKKKKKKKKKKK01111010	SUB K16<<#16,[ACx,]ACy
SSDD010xkkkkkkkkkkkkkkkk01111010	AND k16<<#16,[ACx,]ACy
SSDD011xkkkkkkkkkkkkkkkk01111010	OR k16<<#16,[ACx,]ACy
SSDD100xkkkkkkkkkkkkkkkk01111010	XOR k16<<#16,[ACx,]ACy
xxDD101xKKKKKKKKKKKKKKKK01111010	MOV K16<<#16,ACx
xxxx110xxxxxxxxxxxxxxxxx01111010	IDLE 
FDDDFSSSKKKKKKKKKKKKKKKK01111011	ADD K16,[src,]dst
FDDDFSSSKKKKKKKKKKKKKKKK01111100	SUB K16,[src,]dst
FDDDFSSSkkkkkkkkkkkkkkkk01111101	AND k16,src,dst
FDDDFSSSkkkkkkkkkkkkkkkk01111110	OR k16,src,dst
FDDDFSSSkkkkkkkkkkkkkkkk01111111	XOR k16,src,dst
uuDDDDg%YMMM00mmXXXMMMYY10000010	MPY[R][40] [uns(]Xmem[)],[uns(]Cmem[)],ACx::MPY[R][40][uns(]Ymem[)],[uns(]Cmem[)],ACy
uuDDDDg%YMMM01mmXXXMMMYY10000010	MAC[R][40] [uns(]Xmem[)],[uns(]Cmem[)],ACx::MPY[R][40][uns(]Ymem[)],[uns(]Cmem[)],ACy
uuDDDDg%YMMM10mmXXXMMMYY10000010	MAS[R][40] [uns(]Xmem[)],[uns(]Cmem[)],ACx::MPY[R][40][uns(]Ymem[)],[uns(]Cmem[)],ACy
uuxxDDg%YMMM11mmXXXMMMYY10000010	AMAR Xmem::MPY[R][40][uns(]Ymem[)],[uns(]Cmem[)],ACx
