0000000E xCCCCCCC kkkkkkkk                                      RPTCC k8, cond
0000001E xCCCCCCC xxxxxxxx                                      RETCC cond
0000010E xCCCCCCC LLLLLLLL                                      BCC L8, cond
0000011E LLLLLLLL LLLLLLLL                                      B L16
0000100E LLLLLLLL LLLLLLLL                                      CALL L16
0000110E kkkkkkkk kkkkkkkk                                      RPT k16
0000111E llllllll llllllll                                      RPTB pmad
0001000E DDSS0000 xxSHIFTW                                      AND ACx << #SHIFTW[, ACy]
0001000E DDSS0001 xxSHIFTW                                      OR ACx << #SHIFTW[, ACy]
0001000E DDSS0010 xxSHIFTW                                      XOR ACx << #SHIFTW[, ACy]
0001000E DDSS0011 xxSHIFTW                                      ADD ACx << #SHIFTW, ACy
0001000E DDSS0100 xxSHIFTW                                      SUB ACx << #SHIFTW, ACy
0001000E DDSS0101 xxSHIFTW                                      SFTS ACx, #SHIFTW[, ACy]
0001000E DDSS0110 xxSHIFTW                                      SFTSC ACx, #SHIFTW[, ACy]
0001000E DDSS0111 xxSHIFTW                                      SFTL ACx, #SHIFTW[, ACy]
0001000E xxSS1000 xxddxxxx                                      EXP ACx, Tx
0001000E DDSS1001 xxddxxxx                                      MANT ACx, ACy :: NEXP ACx, Tx
0001000E xxSS1010 SSddxxxt                                      BCNT ACx, ACy,TCx, Tx
0001000E DDSS1100 SSDDnnnn                                      MAXDIFF ACx, ACy, ACz, ACw
0001000E DDSS1101 SSDDxxxr                                      DMAXDIFF ACx, ACy, ACz, ACw, TRNx
0001000E DDSS1110 SSDDxxxx                                      MINDIFF ACx, ACy, ACz, ACw
0001000E DDSS1111 SSDDxxxr                                      DMINDIFF ACx, ACy, ACz, ACw, TRNx
0001001E FSSScc00 FDDDxuxt                                      CMP[U] src RELOP dst, TCx
0001001E FSSScc01 FDDD0utt                                      CMPAND[U] src RELOP dst, TCy, TCx
0001001E FSSScc01 FDDD1utt                                      CMPAND[U] src RELOP dst, !TCy, TCx
0001001E FSSScc10 FDDD0utt                                      CMPOR[U] src RELOP dst, TCy, TCx
0001001E FSSScc10 FDDD1utt                                      CMPOR[U] src RELOP dst, !TCy, TCx
0001001E FSSSxx11 FDDD0xvv                                      ROL BitOut, src, BitIn, dst
0001001E FSSSxx11 FDDD1xvv                                      ROR BitIn, src, BitOut, dst
0001010E FSSSxxxx FDDD0000                                      AADD TAx, TAy
0001010E FSSSxxxx FDDD0001                                      AMOV TAx, TAy
0001010E FSSSxxxx FDDD0010                                      ASUB TAx, TAy
0001010E PPPPPPPP FDDD0100                                      AADD P8, TAx
0001010E PPPPPPPP FDDD0101                                      AMOV P8, TAx
0001010E PPPPPPPP FDDD0110                                      ASUB P8, TAx
0001010E FSSSxxxx FDDD1000                                      AADD TAx, TAy
0001010E FSSSxxxx FDDD1001                                      AMOV TAx, TAy
0001010E FSSSxxxx FDDD1010                                      ASUB TAx, TAy
0001010E PPPPPPPP FDDD1100                                      AADD P8, TAx
0001010E PPPPPPPP FDDD1101                                      AMOV P8, TAx
0001010E PPPPPPPP FDDD1110                                      ASUB P8, TAx
0001010E XACS0001 XACD0000                                      AADD XACsrc, XACdst
0001010E XACS0001 XACD0001                                      AMOV XACsrc, XACdst
0001010E XACS0001 XACD0010                                      ASUB XACsrc, XACdst
0001010E XACS0001 XACD1000                                      AADD XACsrc, XACdst
0001010E XACS0001 XACD1001                                      AMOV XACsrc, XACdst
0001010E XACS0001 XACD1010                                      ASUB XACsrc, XACdst
0001011E xxxxxkkk kkkk0000                                      MOV k7, DPH
0001011E xxxkkkkk kkkk0011                                      MOV k9, PDP
0001011E kkkkkkkk kkkk0100                                      MOV k12, BK03
0001011E kkkkkkkk kkkk0101                                      MOV k12, BK47
0001011E kkkkkkkk kkkk0110                                      MOV k12, BKC
0001011E kkkkkkkk kkkk1000                                      MOV k12, CSR
0001011E kkkkkkkk kkkk1001                                      MOV k12, BRC0
0001011E kkkkkkkk kkkk1010                                      MOV k12, BRC1
0001100E kkkkkkkk FDDDFSSS                                      AND k8, src, dst
0001101E kkkkkkkk FDDDFSSS                                      OR k8, src, dst
0001110E kkkkkkkk FDDDFSSS                                      XOR k8, src, dst
0001111E KKKKKKKK SSDDxx0%                                      MPYK[R] K8, [ACx,] ACy
0001111E KKKKKKKK SSDDss1%                                      MACK[R] Tx, K8, [ACx,] ACy
0010000E                                                        NOP
0010001E FSSSFDDD                                               MOV src, dst
0010010E FSSSFDDD                                               ADD [src,] dst
0010011E FSSSFDDD                                               SUB [src,] dst
0010100E FSSSFDDD                                               AND src, dst
0010101E FSSSFDDD                                               OR src, dst
0010110E FSSSFDDD                                               XOR src, dst
0010111E FSSSFDDD                                               MAX [src,] dst
0011000E FSSSFDDD                                               MIN [src,] dst
0011001E FSSSFDDD                                               ABS [src,] dst
0011010E FSSSFDDD                                               NEG [src,] dst
0011011E FSSSFDDD                                               NOT [src,] dst
0011100E FSSSFDDD                                               PSH src1, src2
0011101E FSSSFDDD                                               POP dst1, dst2
0011110E kkkkFDDD                                               MOV k4, dst
0011111E kkkkFDDD                                               MOV –k4, dst
0100000E kkkkFDDD                                               ADD k4, dst
01000101 11110010                                               .LK
0100001E kkkkFDDD                                               SUB k4, dst
0100010E 00SSFDDD                                               MOV HI(ACx), TAx
0100010E 01x0FDDD                                               SFTS dst, #−1
0100010E 01x1FDDD                                               SFTS dst, #1
0100010E 1000FDDD                                               MOV SP, TAx
