kkkkkkkkxCCCCCCC0000000E	RPTCC k8, cond
xxxxxxxxxCCCCCCC0000001E	RETCC cond
LLLLLLLLxCCCCCCC0000010E	BCC L8, cond
LLLLLLLLLLLLLLLL0000011E	B L16
LLLLLLLLLLLLLLLL0000100E	CALL L16
kkkkkkkkkkkkkkkk0000110E	RPT k16
llllllllllllllll0000111E	RPTB pmad
xxSHIFTWDDSS00000001000E	AND ACx << #SHIFTW[, ACy]
xxSHIFTWDDSS00010001000E	OR ACx << #SHIFTW[, ACy]
xxSHIFTWDDSS00100001000E	XOR ACx << #SHIFTW[, ACy]
xxSHIFTWDDSS00110001000E	ADD ACx << #SHIFTW, ACy
xxSHIFTWDDSS01000001000E	SUB ACx << #SHIFTW, ACy
xxSHIFTWDDSS01010001000E	SFTS ACx, #SHIFTW[, ACy]
xxSHIFTWDDSS01100001000E	SFTSC ACx, #SHIFTW[, ACy]
xxSHIFTWDDSS01110001000E	SFTL ACx, #SHIFTW[, ACy]
xxddxxxxxxSS10000001000E	EXP ACx, Tx
xxddxxxxDDSS10010001000E	MANT ACx, ACy :: NEXP ACx, Tx
SSddxxxtxxSS10100001000E	BCNT ACx, ACy,TCx, Tx
SSDDnnnnDDSS11000001000E	MAXDIFF ACx, ACy, ACz, ACw
SSDDxxxrDDSS11010001000E	DMAXDIFF ACx, ACy, ACz, ACw, TRNx
SSDDxxxxDDSS11100001000E	MINDIFF ACx, ACy, ACz, ACw
SSDDxxxrDDSS11110001000E	DMINDIFF ACx, ACy, ACz, ACw, TRNx
FDDDxuxtFSSScc000001001E	CMP[U] src RELOP dst, TCx
FDDD0uttFSSScc010001001E	CMPAND[U] src RELOP dst, TCy, TCx
FDDD1uttFSSScc010001001E	CMPAND[U] src RELOP dst, !TCy, TCx
FDDD0uttFSSScc100001001E	CMPOR[U] src RELOP dst, TCy, TCx
FDDD1uttFSSScc100001001E	CMPOR[U] src RELOP dst, !TCy, TCx
FDDD0xvvFSSSxx110001001E	ROL BitOut, src, BitIn, dst
FDDD1xvvFSSSxx110001001E	ROR BitIn, src, BitOut, dst
FDDD0000FSSSxxxx0001010E	AADD TAx, TAy
FDDD0001FSSSxxxx0001010E	AMOV TAx, TAy
FDDD0010FSSSxxxx0001010E	ASUB TAx, TAy
FDDD0100PPPPPPPP0001010E	AADD P8, TAx
FDDD0101PPPPPPPP0001010E	AMOV P8, TAx
FDDD0110PPPPPPPP0001010E	ASUB P8, TAx
FDDD1000FSSSxxxx0001010E	AADD TAx, TAy
FDDD1001FSSSxxxx0001010E	AMOV TAx, TAy
FDDD1010FSSSxxxx0001010E	ASUB TAx, TAy
FDDD1100PPPPPPPP0001010E	AADD P8, TAx
FDDD1101PPPPPPPP0001010E	AMOV P8, TAx
FDDD1110PPPPPPPP0001010E	ASUB P8, TAx
XACD0000XACS00010001010E	AADD XACsrc, XACdst
XACD0001XACS00010001010E	AMOV XACsrc, XACdst
XACD0010XACS00010001010E	ASUB XACsrc, XACdst
XACD1000XACS00010001010E	AADD XACsrc, XACdst
XACD1001XACS00010001010E	AMOV XACsrc, XACdst
XACD1010XACS00010001010E	ASUB XACsrc, XACdst
kkkk0000xxxxxkkk0001011E	MOV k7, DPH
kkkk0011xxxkkkkk0001011E	MOV k9, PDP
kkkk0100kkkkkkkk0001011E	MOV k12, BK03
kkkk0101kkkkkkkk0001011E	MOV k12, BK47
kkkk0110kkkkkkkk0001011E	MOV k12, BKC
